section_id,concept_id,relationship_type,relevance_score
BNS_314,CONCEPT_016,APPLIES_TO,1.0
BNS_314,CONCEPT_017,APPLIES_TO,1.0
BNS_315,CONCEPT_006,APPLIES_TO,1.0
BNS_315,CONCEPT_012,APPLIES_TO,1.0
BNS_315,CONCEPT_015,APPLIES_TO,1.0
BNS_315,CONCEPT_016,APPLIES_TO,1.0
BNS_316,CONCEPT_007,APPLIES_TO,1.0
BNS_316,CONCEPT_008,APPLIES_TO,1.0
BNS_316,CONCEPT_012,APPLIES_TO,1.0
BNS_316,CONCEPT_015,APPLIES_TO,1.0
BNS_316,CONCEPT_018,APPLIES_TO,1.0
BNS_316,CONCEPT_020,APPLIES_TO,1.0
BNS_317,CONCEPT_001,APPLIES_TO,1.0
BNS_317,CONCEPT_003,APPLIES_TO,1.0
BNS_317,CONCEPT_004,APPLIES_TO,1.0
BNS_317,CONCEPT_005,APPLIES_TO,1.0
BNS_317,CONCEPT_006,APPLIES_TO,1.0
BNS_317,CONCEPT_007,APPLIES_TO,1.0
BNS_317,CONCEPT_008,APPLIES_TO,1.0
BNS_317,CONCEPT_009,APPLIES_TO,1.0
BNS_317,CONCEPT_012,APPLIES_TO,1.0
BNS_317,CONCEPT_015,APPLIES_TO,1.0
BNS_317,CONCEPT_016,APPLIES_TO,1.0
BNS_317,CONCEPT_020,APPLIES_TO,1.0
BNS_318,CONCEPT_007,APPLIES_TO,1.0
BNS_318,CONCEPT_009,APPLIES_TO,1.0
BNS_318,CONCEPT_012,APPLIES_TO,1.0
BNS_318,CONCEPT_015,APPLIES_TO,1.0
BNS_318,CONCEPT_017,APPLIES_TO,1.0
BNS_319,CONCEPT_009,APPLIES_TO,1.0
BNS_319,CONCEPT_012,APPLIES_TO,1.0
BNS_320,CONCEPT_012,APPLIES_TO,1.0
BNS_320,CONCEPT_015,APPLIES_TO,1.0
BNS_321,CONCEPT_015,APPLIES_TO,1.0
BNS_322,CONCEPT_012,APPLIES_TO,1.0
BNS_322,CONCEPT_015,APPLIES_TO,1.0
BNS_323,CONCEPT_010,APPLIES_TO,1.0
BNS_323,CONCEPT_012,APPLIES_TO,1.0
BNS_323,CONCEPT_015,APPLIES_TO,1.0
BNS_324,CONCEPT_010,APPLIES_TO,1.0
BNS_324,CONCEPT_012,APPLIES_TO,1.0
BNS_325,CONCEPT_010,APPLIES_TO,1.0
BNS_326,CONCEPT_010,APPLIES_TO,1.0
BNS_326,CONCEPT_012,APPLIES_TO,1.0
BNS_326,CONCEPT_013,APPLIES_TO,1.0
BNS_327,CONCEPT_010,APPLIES_TO,1.0
BNS_328,CONCEPT_001,APPLIES_TO,1.0
BNS_328,CONCEPT_006,APPLIES_TO,1.0
BNS_328,CONCEPT_011,APPLIES_TO,1.0
BNS_328,CONCEPT_012,APPLIES_TO,1.0
BNS_328,CONCEPT_015,APPLIES_TO,1.0
BNS_328,CONCEPT_020,APPLIES_TO,1.0
BNS_329,CONCEPT_011,APPLIES_TO,1.0
BNS_329,CONCEPT_012,APPLIES_TO,1.0
BNS_329,CONCEPT_013,APPLIES_TO,1.0
BNS_329,CONCEPT_016,APPLIES_TO,1.0
BNS_329,CONCEPT_020,APPLIES_TO,1.0
BNS_330,CONCEPT_011,APPLIES_TO,1.0
BNS_330,CONCEPT_018,APPLIES_TO,1.0
BNS_330,CONCEPT_020,APPLIES_TO,1.0
BNS_331,CONCEPT_001,APPLIES_TO,1.0
BNS_331,CONCEPT_011,APPLIES_TO,1.0
BNS_333,CONCEPT_011,APPLIES_TO,1.0
BNS_334,CONCEPT_008,APPLIES_TO,1.0
BNS_334,CONCEPT_010,APPLIES_TO,1.0
BNS_334,CONCEPT_012,APPLIES_TO,1.0
BNS_334,CONCEPT_015,APPLIES_TO,1.0
